n t q qr n vt vq vqr vn
1 0.032 0.1999 0.4164 3.0800 0.000 0.0107 0.1091 1.0736
2 0.061 0.2560 0.2764 3.0800 0.000 0.0012 0.0189 1.2736
3 0.090 0.2619 0.2804 3.1000 0.000 0.0004 0.0186 0.8500
4 0.117 0.2639 0.2681 3.3800 0.000 0.0017 0.0237 0.8356
5 0.146 0.2698 0.2215 3.5400 0.000 0.0003 0.0161 1.1684
6 0.187 0.2773 0.2032 3.6800 0.001 0.0002 0.0117 0.7776
7 0.206 0.2790 0.1745 3.9800 0.000 0.0001 0.0078 0.9396
8 0.240 0.2812 0.1668 4.0400 0.000 0.0001 0.0116 1.0784
9 0.271 0.2817 0.2031 3.6800 0.001 0.0002 0.0082 0.6576
10 0.306 0.2835 0.1594 4.2200 0.001 0.0001 0.0095 1.0516
20 0.579 0.2855 0.1522 4.2600 0.001 0.0001 0.0079 1.0324
30 0.885 0.2920 0.1236 4.4000 0.002 0.0000 0.0065 0.8000
40 1.178 0.2923 0.1126 4.6000 0.003 0.0000 0.0052 1.2400
50 1.449 0.2928 0.1107 4.6600 0.004 0.0000 0.0062 0.7444
60 1.738 0.2920 0.1416 4.2600 0.004 0.0000 0.0054 0.8724
